Dyad,Obs.effort,period,id1,id2,Grooming,sex1,group1,sex2,group2,sex.combo,group.combo,groom.prop,rval,kincat2,start1,destination1,start2,destination2,avg.rank1,avg.rank2,RankDiff,dob1,dob2,agediff,outcome.long,outcome.short
fd_un,4410,Stable,fd,un,7.9500,f,PHG,f,PHG,ff,same,0.0018,0,Non-kin,PHG,PHG,PHG,PHG,0.895,0.101,0.794,11/28/99,11/20/00,0.980150582,stayed together,stayed
fd_ur,4410,Stable,fd,ur,1.0000,f,PHG,f,PHG,ff,same,0.0002,0,Non-kin,PHG,PHG,PHG,PHG,0.895,0.484,0.410,11/28/99,8/3/02,2.680355921,stayed together,stayed
fd_ut,4320,Stable,fd,ut,1.6000,f,PHG,f,ENK,ff,different,0.0004,0,Non-kin,PHG,PHG,ENK,ENK,0.895,0.183,0.712,11/28/99,2/27/99,0.750171116,never together,never
fd_uv,4365,Stable,fd,uv,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,PHG,ENK,ENK,0.895,0.822,0.073,11/28/99,7/24/07,7.65229295,never together,never
fd_ux,4455,Stable,fd,ux,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,PHG,PHG,ENK,0.895,0.000,0.895,11/28/99,1/15/07,7.1321013,split apart,split
fd_uz,4485,Stable,fd,uz,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,PHG,PHG,PHG,0.895,0.313,0.581,11/28/99,5/27/08,8.495550992,stayed together,stayed
fx_o6,1755,Stable,fx,o6,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,PHG,PHG,YNT,0.824,0.144,0.680,11/24/05,11/21/09,3.991786448,split apart,split
fx_oa,4410,Stable,fx,oa,11.5500,f,PHG,f,PHG,ff,same,0.0026,0,Non-kin,PHG,PHG,PHG,YNT,0.824,0.669,0.155,11/24/05,9/14/01,4.194387406,split apart,split
fx_ob,4410,Stable,fx,ob,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,PHG,PHG,YNT,0.824,0.436,0.388,11/24/05,7/11/08,2.628336756,split apart,split
fx_oo,4440,Stable,fx,oo,1.2833,f,PHG,f,PHG,ff,same,0.0003,0,Non-kin,PHG,PHG,PHG,YNT,0.824,0.648,0.176,11/24/05,4/8/07,1.368925394,split apart,split
fx_oy,4380,Stable,fx,oy,4.1500,f,PHG,f,PHG,ff,same,0.0009,0,Non-kin,PHG,PHG,PHG,PHG,0.824,0.030,0.794,11/24/05,4/6/07,1.363449692,stayed together,stayed
fx_qc,2175,Stable,fx,qc,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,PHG,ENK,ENK,0.824,0.636,0.188,11/24/05,4/6/10,4.364134155,never together,never
fx_qn,4395,Stable,fx,qn,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,PHG,ENK,ENK,0.824,0.559,0.265,11/24/05,5/24/07,1.49486653,never together,never
fx_qp,4320,Stable,fx,qp,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,PHG,ENK,ENK,0.824,0.395,0.429,11/24/05,1/23/06,0.164271047,never together,never
fx_tr,4515,Stable,fx,tr,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,PHG,PHG,YNT,0.824,0.684,0.140,11/24/05,NA,NA,split apart,split
fx_ty,4380,Stable,fx,ty,4.5667,f,PHG,f,PHG,ff,same,0.0010,0,Non-kin,PHG,PHG,PHG,PHG,0.824,0.399,0.425,11/24/05,8/6/09,3.698836413,stayed together,stayed
fx_ua,4410,Stable,fx,ua,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,PHG,ENK,ENK,0.824,1.000,0.176,11/24/05,3/19/05,0.684462697,never together,never
fx_ug,4470,Stable,fx,ug,8.2167,f,PHG,f,PHG,ff,same,0.0018,0,Non-kin,PHG,PHG,PHG,PHG,0.824,0.197,0.627,11/24/05,10/27/08,2.924024641,stayed together,stayed
fx_uj,3045,Stable,fx,uj,2.2500,f,PHG,f,PHG,ff,same,0.0007,0,Non-kin,PHG,PHG,PHG,PHG,0.824,0.254,0.570,11/24/05,4/19/10,4.399726215,stayed together,stayed
fx_uk,4260,Stable,fx,uk,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,PHG,ENK,ENK,0.824,0.067,0.757,11/24/05,2/26/09,3.258042437,never together,never
fx_un,4455,Stable,fx,un,8.5000,f,PHG,f,PHG,ff,same,0.0019,0,Non-kin,PHG,PHG,PHG,PHG,0.824,0.101,0.723,11/24/05,11/20/00,5.01026694,stayed together,stayed
fx_ur,4455,Stable,fx,ur,4.2500,f,PHG,f,PHG,ff,same,0.0010,0,Non-kin,PHG,PHG,PHG,PHG,0.824,0.484,0.340,11/24/05,8/3/02,3.310061602,stayed together,stayed
fx_ut,4365,Stable,fx,ut,12.5167,f,PHG,f,ENK,ff,different,0.0029,0,Non-kin,PHG,PHG,ENK,ENK,0.824,0.183,0.641,11/24/05,2/27/99,6.740588638,never together,never
fx_uv,4410,Stable,fx,uv,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,PHG,ENK,ENK,0.824,0.822,0.002,11/24/05,7/24/07,1.661875428,never together,never
fx_ux,4500,Stable,fx,ux,12.9833,f,PHG,f,PHG,ff,same,0.0029,0,Non-kin,PHG,PHG,PHG,ENK,0.824,0.000,0.824,11/24/05,1/15/07,1.141683778,split apart,split
fx_uz,4530,Stable,fx,uz,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,PHG,PHG,PHG,0.824,0.313,0.511,11/24/05,5/27/08,2.50513347,stayed together,stayed
o6_oa,1725,Stable,o6,oa,12.9833,f,PHG,f,PHG,ff,same,0.0075,0.5,Mother-offspring,PHG,YNT,PHG,YNT,0.144,0.669,0.525,11/21/09,9/14/01,8.186173854,stayed together,stayed
o6_ob,1740,Stable,o6,ob,5.1333,f,PHG,f,PHG,ff,same,0.0030,0.25,Sibling,PHG,YNT,PHG,YNT,0.144,0.436,0.292,11/21/09,7/11/08,1.363449692,stayed together,stayed
o6_oo,1695,Stable,o6,oo,0.6500,f,PHG,f,PHG,ff,same,0.0004,0,Non-kin,PHG,YNT,PHG,YNT,0.144,0.648,0.504,11/21/09,4/8/07,2.622861054,stayed together,stayed
o6_oy,1740,Stable,o6,oy,0.0000,f,PHG,f,PHG,ff,same,0.0000,0.25,Sibling,PHG,YNT,PHG,PHG,0.144,0.030,0.114,11/21/09,4/6/07,2.628336756,split apart,split
o6_qc,1710,Stable,o6,qc,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,YNT,ENK,ENK,0.144,0.636,0.492,11/21/09,4/6/10,0.372347707,briefly together,briefly
o6_qn,1815,Stable,o6,qn,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,YNT,ENK,ENK,0.144,0.559,0.415,11/21/09,5/24/07,2.496919918,briefly together,briefly
o6_qp,1800,Stable,o6,qp,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,YNT,ENK,ENK,0.144,0.395,0.250,11/21/09,1/23/06,3.8275154,briefly together,briefly
o6_tr,1770,Stable,o6,tr,14.8500,f,PHG,f,PHG,ff,same,0.0084,0,Non-kin,PHG,YNT,PHG,YNT,0.144,0.684,0.539,11/21/09,NA,NA,stayed together,stayed
o6_ty,1725,Stable,o6,ty,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,YNT,PHG,PHG,0.144,0.399,0.255,11/21/09,8/6/09,0.292950034,split apart,split
