Dyad,Obs.effort,period,id1,id2,Grooming,sex1,group1,sex2,group2,sex.combo,group.combo,groom.prop,Male.Rank,Fem.Rank,RankDiff,s1,d1,s2,d2,outcome,,
bt_qz,1215,Fission,bt,qz,0.000,m,PHG,f,ENK,fm,different,0.0000,0.669,0.711,0.042,PHG,PHG,ENK,ENK,never together,,
bt_tr,1245,Fission,bt,tr,9.033,m,PHG,f,YNT,fm,different,0.0073,0.669,0.684,0.015,PHG,PHG,PHG,YNT,split apart,,
bt_tr,1485,Dispersal 2,bt,tr,10.533,m,PHG,f,ENK,fm,different,0.0071,0.669,0.684,0.015,PHG,PHG,PHG,YNT,split apart,,
bt_tr,1740,Dispersal 1,bt,tr,17.433,m,PHG,f,PHG,fm,same,0.0100,0.669,0.684,0.015,PHG,PHG,PHG,YNT,split apart,,
bt_tr,3570,Stable,bt,tr,0.000,m,PHG,f,PHG,fm,same,0.0000,0.669,0.684,0.015,PHG,PHG,PHG,YNT,split apart,,
bt_ty,1230,Fission,bt,ty,36.833,m,PHG,f,PHG,fm,same,0.0299,0.669,0.399,0.270,PHG,PHG,PHG,PHG,stayed together,,
bt_ty,1500,Dispersal 2,bt,ty,16.217,m,PHG,f,PHG,fm,same,0.0108,0.669,0.399,0.270,PHG,PHG,PHG,PHG,stayed together,,
bt_ty,1695,Dispersal 1,bt,ty,5.483,m,PHG,f,PHG,fm,same,0.0032,0.669,0.399,0.270,PHG,PHG,PHG,PHG,stayed together,,
bt_ty,3435,Stable,bt,ty,0.000,m,PHG,f,PHG,fm,same,0.0000,0.669,0.399,0.270,PHG,PHG,PHG,PHG,stayed together,,
bt_ua,1215,Fission,bt,ua,0.000,m,PHG,f,ENK,fm,different,0.0000,0.669,1.000,0.331,PHG,PHG,ENK,ENK,never together,,
bt_ua,1515,Dispersal 2,bt,ua,0.000,m,PHG,f,ENK,fm,different,0.0000,0.669,1.000,0.331,PHG,PHG,ENK,ENK,never together,,
bt_ua,1665,Dispersal 1,bt,ua,0.000,m,PHG,f,ENK,fm,different,0.0000,0.669,1.000,0.331,PHG,PHG,ENK,ENK,never together,,
bt_ua,3465,Stable,bt,ua,0.000,m,PHG,f,ENK,fm,different,0.0000,0.669,1.000,0.331,PHG,PHG,ENK,ENK,never together,,
bt_ug,1200,Fission,bt,ug,4.083,m,PHG,f,PHG,fm,same,0.0034,0.669,0.197,0.472,PHG,PHG,PHG,PHG,stayed together,,
bt_ug,1485,Dispersal 2,bt,ug,0.000,m,PHG,f,PHG,fm,same,0.0000,0.669,0.197,0.472,PHG,PHG,PHG,PHG,stayed together,,
bt_ug,1770,Dispersal 1,bt,ug,0.000,m,PHG,f,PHG,fm,same,0.0000,0.669,0.197,0.472,PHG,PHG,PHG,PHG,stayed together,,
bt_ug,3525,Stable,bt,ug,6.783,m,PHG,f,PHG,fm,same,0.0019,0.669,0.197,0.472,PHG,PHG,PHG,PHG,stayed together,,
bt_uj,1200,Fission,bt,uj,33.483,m,PHG,f,PHG,fm,same,0.0279,0.669,0.254,0.415,PHG,PHG,PHG,PHG,stayed together,,
bt_uj,1545,Dispersal 2,bt,uj,8.067,m,PHG,f,PHG,fm,same,0.0052,0.669,0.254,0.415,PHG,PHG,PHG,PHG,stayed together,,
bt_uj,1740,Dispersal 1,bt,uj,0.000,m,PHG,f,PHG,fm,same,0.0000,0.669,0.254,0.415,PHG,PHG,PHG,PHG,stayed together,,
bt_uj,2355,Stable,bt,uj,10.250,m,PHG,f,PHG,fm,same,0.0044,0.669,0.254,0.415,PHG,PHG,PHG,PHG,stayed together,,
bt_uk,1230,Fission,bt,uk,2.833,m,PHG,f,ENK,fm,different,0.0023,0.669,0.067,0.602,PHG,PHG,ENK,ENK,never together,,
bt_uk,1530,Dispersal 2,bt,uk,3.233,m,PHG,f,ENK,fm,different,0.0021,0.669,0.067,0.602,PHG,PHG,ENK,ENK,never together,,
bt_uk,1725,Dispersal 1,bt,uk,0.000,m,PHG,f,ENK,fm,different,0.0000,0.669,0.067,0.602,PHG,PHG,ENK,ENK,never together,,
bt_uk,3315,Stable,bt,uk,1.067,m,PHG,f,ENK,fm,different,0.0003,0.669,0.067,0.602,PHG,PHG,ENK,ENK,never together,,
bt_un,1185,Fission,bt,un,0.000,m,PHG,f,PHG,fm,same,0.0000,0.669,0.101,0.568,PHG,PHG,PHG,PHG,stayed together,,
bt_un,1500,Dispersal 2,bt,un,0.000,m,PHG,f,PHG,fm,same,0.0000,0.669,0.101,0.568,PHG,PHG,PHG,PHG,stayed together,,
bt_un,1695,Dispersal 1,bt,un,0.000,m,PHG,f,PHG,fm,same,0.0000,0.669,0.101,0.568,PHG,PHG,PHG,PHG,stayed together,,
bt_un,3510,Stable,bt,un,0.000,m,PHG,f,PHG,fm,same,0.0000,0.669,0.101,0.568,PHG,PHG,PHG,PHG,stayed together,,
bt_ur,1200,Fission,bt,ur,0.000,m,PHG,f,PHG,fm,same,0.0000,0.669,0.484,0.184,PHG,PHG,PHG,PHG,stayed together,,
bt_ur,1530,Dispersal 2,bt,ur,0.000,m,PHG,f,PHG,fm,same,0.0000,0.669,0.484,0.184,PHG,PHG,PHG,PHG,stayed together,,
bt_ur,1740,Dispersal 1,bt,ur,0.000,m,PHG,f,PHG,fm,same,0.0000,0.669,0.484,0.184,PHG,PHG,PHG,PHG,stayed together,,
bt_ur,3510,Stable,bt,ur,0.000,m,PHG,f,PHG,fm,same,0.0000,0.669,0.484,0.184,PHG,PHG,PHG,PHG,stayed together,,
bt_ut,1245,Fission,bt,ut,0.000,m,PHG,f,ENK,fm,different,0.0000,0.669,0.183,0.486,PHG,PHG,ENK,ENK,never together,,
bt_ut,1515,Dispersal 2,bt,ut,0.000,m,PHG,f,ENK,fm,different,0.0000,0.669,0.183,0.486,PHG,PHG,ENK,ENK,never together,,
bt_ut,1665,Dispersal 1,bt,ut,0.000,m,PHG,f,ENK,fm,different,0.0000,0.669,0.183,0.486,PHG,PHG,ENK,ENK,never together,,
bt_ut,3420,Stable,bt,ut,0.000,m,PHG,f,ENK,fm,different,0.0000,0.669,0.183,0.486,PHG,PHG,ENK,ENK,never together,,
bt_uv,1215,Fission,bt,uv,0.000,m,PHG,f,ENK,fm,different,0.0000,0.669,0.822,0.153,PHG,PHG,ENK,ENK,never together,,
bt_uv,1545,Dispersal 2,bt,uv,0.000,m,PHG,f,ENK,fm,different,0.0000,0.669,0.822,0.153,PHG,PHG,ENK,ENK,never together,,
bt_uv,1680,Dispersal 1,bt,uv,0.000,m,PHG,f,ENK,fm,different,0.0000,0.669,0.822,0.153,PHG,PHG,ENK,ENK,never together,,
bt_uv,3465,Stable,bt,uv,0.000,m,PHG,f,ENK,fm,different,0.0000,0.669,0.822,0.153,PHG,PHG,ENK,ENK,never together,,
bt_ux,1215,Fission,bt,ux,0.000,m,PHG,f,ENK,fm,different,0.0000,0.669,0.000,0.669,PHG,PHG,PHG,ENK,split apart,,
bt_ux,1515,Dispersal 2,bt,ux,0.000,m,PHG,f,ENK,fm,different,0.0000,0.669,0.000,0.669,PHG,PHG,PHG,ENK,split apart,,
bt_ux,1725,Dispersal 1,bt,ux,0.000,m,PHG,f,ENK,fm,different,0.0000,0.669,0.000,0.669,PHG,PHG,PHG,ENK,split apart,,
bt_ux,3555,Stable,bt,ux,0.000,m,PHG,f,PHG,fm,same,0.0000,0.669,0.000,0.669,PHG,PHG,PHG,ENK,split apart,,
bt_uz,1200,Fission,bt,uz,30.900,m,PHG,f,PHG,fm,same,0.0258,0.669,0.313,0.356,PHG,PHG,PHG,PHG,stayed together,,
bt_uz,1560,Dispersal 2,bt,uz,0.000,m,PHG,f,PHG,fm,same,0.0000,0.669,0.313,0.356,PHG,PHG,PHG,PHG,stayed together,,
bt_uz,1725,Dispersal 1,bt,uz,0.000,m,PHG,f,PHG,fm,same,0.0000,0.669,0.313,0.356,PHG,PHG,PHG,PHG,stayed together,,
bt_uz,3585,Stable,bt,uz,4.633,m,PHG,f,PHG,fm,same,0.0013,0.669,0.313,0.356,PHG,PHG,PHG,PHG,stayed together,,
bt_yp,1215,Fission,bt,yp,10.717,m,PHG,f,PHG,fm,same,0.0088,0.669,0.933,0.265,PHG,PHG,PHG,PHG,stayed together,,
bt_yp,1515,Dispersal 2,bt,yp,0.000,m,PHG,f,PHG,fm,same,0.0000,0.669,0.933,0.265,PHG,PHG,PHG,PHG,stayed together,,
bt_yp,1665,Dispersal 1,bt,yp,0.000,m,PHG,f,PHG,fm,same,0.0000,0.669,0.933,0.265,PHG,PHG,PHG,PHG,stayed together,,
by_eb,930,Stable,by,eb,0.000,f,ENK,m,PHG,fm,different,0.0000,0.603,0.288,0.315,ENK,ENK,PHG,PHG,never together,,
by_ez,255,Dispersal 1,by,ez,0.000,f,ENK,m,PHG,fm,different,0.0000,0.115,0.288,0.173,ENK,ENK,PHG,PHG,never together,,
by_ez,3405,Stable,by,ez,0.000,f,ENK,m,PHG,fm,different,0.0000,0.115,0.288,0.173,ENK,ENK,PHG,PHG,never together,,
by_fh,1155,Stable,by,fh,0.000,f,ENK,m,PHG,fm,different,0.0000,0.209,0.288,0.079,ENK,ENK,PHG,PHG,never together,,
by_jj,1500,Dispersal 2,by,jj,8.217,f,ENK,m,ENK,fm,same,0.0055,0.257,0.288,0.031,ENK,ENK,ENK,ENK,stayed together,,
by_jj,1665,Dispersal 1,by,jj,0.000,f,ENK,m,ENK,fm,same,0.0000,0.257,0.288,0.031,ENK,ENK,ENK,ENK,stayed together,,
by_jj,3480,Stable,by,jj,40.833,f,ENK,m,ENK,fm,same,0.0117,0.257,0.288,0.031,ENK,ENK,ENK,ENK,stayed together,,
by_jy,1545,Dispersal 2,by,jy,0.000,f,ENK,m,PHG,fm,different,0.0000,0.561,0.288,0.273,ENK,ENK,PHG,PHG,never together,,
